##########################################################################################
# initial vector basename: ne180
# final   vector basename: f_180
# One body file: Fermi_1b.op
# Two body file: Fermi_2b.op
# Jf  nJf     Ji  nJi      Ef          Ei         <Op1b>          <Op2b>         <Op1b+2b> 
###########################################################################################
 0.0   1     0.0   1     -8.691      -4.391    1.410733e+00   -1.631404e-03    1.409102e+00  
 0.0   1     0.0   2     -8.691       0.553   -1.248611e-02    8.451716e-03   -4.034390e-03  
 0.0   1     1.0   1     -8.691       4.951    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   1     1.0   2     -8.691       6.282    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   2     0.0   1     -3.052      -4.391    1.115444e-02   -9.770745e-03    1.383698e-03  
 0.0   2     0.0   2     -3.052       0.553    1.408690e+00   -1.487630e-03    1.407202e+00  
 0.0   2     1.0   1     -3.052       4.951    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   2     1.0   2     -3.052       6.282    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     0.0   1    -11.052      -4.391    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     0.0   2    -11.052       0.553    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     1.0   1    -11.052       4.951    1.304049e-03   -1.599758e-02   -1.469353e-02  
 1.0   1     1.0   2    -11.052       6.282   -1.546313e-03    9.129797e-05   -1.455015e-03  
 1.0   2     0.0   1     -4.800      -4.391    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     0.0   2     -4.800       0.553    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     1.0   1     -4.800       4.951    1.491484e-03    6.647434e-03    8.138917e-03  
 1.0   2     1.0   2     -4.800       6.282   -3.391556e-03   -2.777974e-03   -6.169529e-03  
